
24/11/2023, 21:44:23 | New Solidity on FETUSDT | Solidity Price: 0.527 | Solidity Ratio: 33.07947160468557 | Up To Price: 0.9960151802656547 | Last Price: 0.5249
24/11/2023, 21:44:23 | New Solidity on RDNTUSDT | Solidity Price: 0.251 | Solidity Ratio: 35.544776583666426 | Up To Price: 1.00398406374502 | Last Price: 0.252
25/11/2023, 14:11:37 | New Solidity on HOOKUSDT | Solidity Price: 0.965 | Solidity Ratio: 30.410784124889513 | Up To Price: 0.9889119170984456 | Last Price: 0.9543
25/11/2023, 14:13:38 | New Solidity on UNFIUSDT | Solidity Price: 13 | Solidity Ratio: 42.603781543882285 | Up To Price: 0.9946153846153846 | Last Price: 12.93
25/11/2023, 14:48:57 | New Solidity on HOOKUSDT | Solidity Price: 0.965 | Solidity Ratio: 31.18109503912293 | Up To Price: 0.990259067357513 | Last Price: 0.9556
25/11/2023, 14:48:58 | New Solidity on UNFIUSDT | Solidity Price: 13 | Solidity Ratio: 32.170289058910484 | Up To Price: 0.997923076923077 | Last Price: 12.973
25/11/2023, 14:51:43 | New Solidity on HOOKUSDT | Solidity Price: 0.965 | Solidity Ratio: 32.323078035491974 | Up To Price: 0.9896373056994818 | Last Price: 0.955
25/11/2023, 14:51:43 | New Solidity on UNFIUSDT | Solidity Price: 13 | Solidity Ratio: 34.239531469672166 | Up To Price: 0.9967692307692307 | Last Price: 12.958
25/11/2023, 15:03:43 | New Solidity on MEMEUSDT | Solidity Price: 0.03023 | Solidity Ratio: 32.5594646748723 | Up To Price: 0.9968905061197486 | Last Price: 0.030136
25/11/2023, 15:12:48 | New Solidity on HOOKUSDT | Solidity Price: 0.965 | Solidity Ratio: 33.284124036135154 | Up To Price: 0.9900518134715026 | Last Price: 0.9554
25/11/2023, 15:12:48 | New Solidity on UNFIUSDT | Solidity Price: 13 | Solidity Ratio: 34.650025978406674 | Up To Price: 0.999 | Last Price: 12.987
